,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
131,A319,U2,EZY,36050,EZY39QA,LGW,442,29,406319,2f82cb82,39.3506,-7.228,U28918,0,FAO,G-EZFU,N/A,1678742755,0,36050 ft,360 FL,442 kts,29°,0 fpm
132,A320,U2,EZY,36000,EZY42FB,LGW,439,340,406754,2f82cc3e,42.3399,0.9473,U28226,0,VLC,G-EZWC,N/A,1678742756,-64,36000 ft,360 FL,439 kts,340°,-64 fpm
133,A319,U2,EZY,29025,EZY27PQ,NTE,400,184,405637,2f82cc49,49.9264,-2.0918,U28963,0,LGW,G-EZDI,N/A,1678742756,0,29025 ft,290 FL,400 kts,184°,0 fpm
134,A320,U2,EZY,14425,EZY131K,BFS,262,260,406012,2f82cc4b,54.9035,-4.9463,U2553,0,NCL,G-EZTH,N/A,1678742755,-1728,14425 ft,144 FL,262 kts,260°,-1728 fpm
135,A319,U2,EZY,30025,EZY37CR,MAN,365,283,4010EC,2f82ccd4,52.9381,2.6201,U21838,0,AMS,G-EZBX,N/A,1678742755,0,30025 ft,300 FL,365 kts,283°,0 fpm
136,A319,U2,EZY,33000,EJU693P,NCE,498,98,440CFE,2f82cd1a,43.6526,4.2183,U21740,0,TLS,OE-LVK,N/A,1678742755,0,33000 ft,330 FL,498 kts,98°,0 fpm
137,A20N,U2,EZY,26100,EZY63JT,BFS,424,330,407796,2f82ce68,46.6588,5.5694,U26744,0,GVA,G-UZLD,N/A,1678742754,1856,26100 ft,261 FL,424 kts,330°,1856 fpm
138,A319,U2,EZY,36000,EZY32KD,EDI,421,302,405B64,2f82cecf,53.5546,2.498,U26924,0,AMS,G-EZDK,N/A,1678742755,0,36000 ft,360 FL,421 kts,302°,0 fpm
139,A320,U2,EZY,29800,EJU74QZ,OPO,396,225,440175,2f82d043,48.5924,0.6415,U23775,0,CDG,OE-IJO,N/A,1678742755,1216,29800 ft,298 FL,396 kts,225°,1216 fpm
140,A21N,U2,EZY,25950,EZY82ZG,BRS,420,324,4075E0,2f82d08d,50.342,1.1609,U26224,0,CDG,G-UZMB,N/A,1678742754,64,25950 ft,259 FL,420 kts,324°,64 fpm
141,A319,U2,EZY,26425,EZY58VH,LGW,426,22,400DB4,2f82d09a,37.6271,-4.2654,U28610,0,AGP,G-EZAS,N/A,1678742757,1536,26425 ft,264 FL,426 kts,22°,1536 fpm
142,A320,U2,EZY,28625,EJU48VR,OPO,361,258,4401D1,2f82d0d2,49.4838,4.6428,U27584,0,LUX,OE-IND,N/A,1678742755,1408,28625 ft,286 FL,361 kts,258°,1408 fpm
143,A320,U2,EZY,28275,EZY316U,GLA,394,327,40643D,2f82d31d,52.6315,-0.9219,U2217,0,STN,G-EZUC,N/A,1678742757,1536,28275 ft,282 FL,394 kts,327°,1536 fpm
144,A320,U2,EZY,0,EZY41UH,BRS,2,233,406755,2f82d3b3,46.25,6.1265,U26160,1,GVA,G-EZWD,N/A,1678742706,0,0 ft,0 ft,2 kts,233°,0 fpm
145,A320,U2,EZY,17925,EJU378R,LYS,386,126,4400E3,2f82d686,46.7968,-1.1628,U24356,0,NTE,OE-IVS,N/A,1678742756,2496,17925 ft,179 FL,386 kts,126°,2496 fpm
146,A320,U2,EZY,27425,EZY57CH,BRS,443,127,406752,2f82d6a7,53.9673,-4.6182,U2448,0,BFS,G-EZWA,N/A,1678742756,2112,27425 ft,274 FL,443 kts,127°,2112 fpm
147,A320,U2,EZY,25675,EJU875C,NCE,338,162,440248,2f82d6d0,48.406,2.3389,U23997,0,CDG,OE-INH,N/A,1678742755,1984,25675 ft,256 FL,338 kts,162°,1984 fpm
148,A319,U2,EZY,0,EZY68JU,TLS,0,165,400E5B,2f82d803,51.1528,-0.1682,U28337,1,LGW,G-EZAY,N/A,1678742755,0,0 ft,0 ft,0 kt,165°,0 fpm
149,A320,U2,EZY,0,EJU38YL,LIS,0,45,440097,2f82d8b0,44.8359,-0.7005,U27640,1,BOD,OE-IVM,N/A,1678742754,0,0 ft,0 ft,0 kt,45°,0 fpm
150,A320,DS,EZY,11025,EZS9079,BSL,265,219,4B1A25,2f82d972,53.6843,9.789,DS9079,0,HAM,HB-JXL,N/A,1678742755,2048,11025 ft,110 FL,265 kts,219°,2048 fpm
151,A319,U2,EZY,175,EJU954A,BOD,121,133,440179,2f82d9aa,43.4434,5.2055,U21768,0,MRS,OE-LQJ,N/A,1678742756,0,175 ft,175 ft,121 kts,133°,0 fpm
